ticker symbol;isin;security name;currency;note;
;HU0000706494;APELSO INCOME Kötvény Befektetési Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000706494.json
;HU0000713367;APELSO INCOME Kötvény Befektetési Alap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000713367.json
;HU0000710694;ERSTE Nyíltvégű Abszolút Hozamú Kötvényalap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000710694.json
;HU0000719539;ERSTE Nyíltvégű Abszolút Hozamú Kötvényalap D sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000719539.json
;HU0000717525;Erste Nyíltvégű Dollár Abszolút Hozamú Kötvény Befektetési Alap;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000717525.json
;HU0000719562;Erste Nyíltvégű Dollár Abszolút Hozamú Kötvény Befektetési Alap D sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000719562.json
;HU0000728159;Erste Nyíltvégű Euró Abszolút Hozamú Kötvény Befektetési Alap;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000728159.json
;HU0000714621;Eurizon Globális Kötvény Alapok Részalapja, a Eurizon Esernyőalap részalapja;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000714621.json
;HU0000710132;Eurizon Globális Vállalati Kötvény Alapok Részalapja, a Eurizon Esernyőalap részalapja;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000710132.json
;HU0000723499;MBH Fejlett Piaci Vállalati Kötvény Alap USD sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000723499.json
;HU0000723481;MBH Fejlett Piaci Vállalati Kötvény Alap EUR sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000723481.json
;HU0000723473;MBH Fejlett Piaci Vállalati Kötvény Alap HUF sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000723473.json
;HU0000709860;MBH Feltörekvő Piaci Kötvény Alap CZK sorozat;CZK;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000709860.json
;HU0000711239;MBH Feltörekvő Piaci Kötvény Alap USD sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000711239.json
;HU0000708615;MBH Feltörekvő Piaci Kötvény Alap HUF sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000708615.json
;HU0000706429;MBH Vállalati Deviza Kötvény Alap EUR sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000706429.json
;HU0000717830;MBH Vállalati Deviza Kötvény Alap I sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000717830.json
;HU0000701560;MBH Vállalati Deviza Kötvény Alap HUF sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000701560.json
;HU0000737499;MBH Vállalati Deviza Kötvény Alap USD sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000737499.json
;HU0000718309;OTP EMEA Kötvény Alap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000718309.json
;HU0000711015;OTP EMEA Kötvény Alap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000711015.json
;HU0000733480;OTP Stratégiai Euró Kötvény Alap B sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000733480.json
;HU0000733472;OTP Stratégiai Euró Kötvény Alap A sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000733472.json
;HU0000734934;SIFI Kötvény Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000734934.json
;HU0000732235;VIG Fejlett Piaci Államkötvény Befektetési Alap UI sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000732235.json
;HU0000732219;VIG Fejlett Piaci Államkötvény Befektetési Alap EI sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000732219.json
;HU0000702477;VIG Fejlett Piaci Államkötvény Befektetési Alap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702477.json
;HU0000724224;VIG Fejlett Piaci Államkötvény Befektetési Alap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000724224.json
;HU0000706114;VIG Globális Feltörekvő Piaci Kötvény Befektetési Alap A sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000706114.json
;HU0000724240;VIG Globális Feltörekvő Piaci Kötvény Befektetési Alap B sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000724240.json
;HU0000718416;VIG Globális Feltörekvő Piaci Kötvény Befektetési Alap UI sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000718416.json
;HU0000724265;VIG Globális Feltörekvő Piaci Kötvény Befektetési Alap P sorozat;PLN;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000724265.json
;HU0000724232;VIG Globális Feltörekvő Piaci Kötvény Befektetési Alap U sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000724232.json
;HU0000724257;VIG Globális Feltörekvő Piaci Kötvény Befektetési Alap R sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000724257.json
;HU0000718408;VIG Globális Feltörekvő Piaci Kötvény Befektetési Alap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000718408.json
;HU0000724273;VIG Globális Feltörekvő Piaci Kötvény Befektetési Alap Pl sorozat;PLN;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000724273.json
;HU0000737531;Erste Euro Megtakarítási Vegyes Értékpapíralap;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000737531.json
;HU0000709993;Erste Multi Asset Base Alapok Alapja;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000709993.json
;HU0000715149;Eurizon Euró Relax Vegyes Részalap;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000715149.json
;HU0000737192;Eurizon Konzervatív Private Banking Vagyon Vegyes Alapok Részalapja USD sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000737192.json
;HU0000737176;Eurizon Konzervatív Private Banking Vagyon Vegyes Alapok Részalapja EUR sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000737176.json
;HU0000737168;Eurizon Konzervatív Private Banking Vagyon Vegyes Alapok Részalapja HUF sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000737168.json
;HU0000715131;Eurizon Relax Vegyes Részalap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000715131.json
;HU0000724463;K&H kényelem felelős befektetés nyíltvégű alapok alapja rendszeres sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000724463.json
;HU0000724455;K&H kényelem felelős befektetés nyíltvégű alapok alapja normál sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000724455.json
